age,height (in cm),weight (in kg),no. of uchikomi sessions/week,no. of nagekomi sessions/week,no. of randori sessions/week,avg randori duration (minutes),no. of strength training session/week,training intensity,grip fatigue level,lower body fatigue,breakfall (ukemi) proficiency,no. of competitions played in last 6 months,avg weight cut in kgs,regular ice baths,physio sessions,do you feel exhausted after randori?,do you resist throws instead of falling?,train under coach supervision,weight cuts done?,injury in last 12 months
29,155,49,2,2,5,41,4,6,9,6,4,6,5.4,1,1,0,0,0,0,0
27,151,49,2,5,3,15,1,6,6,4,6,1,2.4,1,0,0,0,1,0,0
34,169,98,1,5,5,45,5,5,6,6,2,9,1.5,0,0,0,0,0,1,0
30,177,91,2,4,4,47,3,5,8,4,2,7,6.1,1,1,0,0,0,1,0
17,160,93,7,1,5,20,5,1,5,4,2,7,3.8,0,1,0,0,0,1,0
17,153,53,1,3,1,42,0,10,3,4,10,0,1.8,0,0,0,1,1,0,0
34,164,64,4,1,4,33,2,5,3,9,7,12,4.9,0,0,0,0,1,0,0
32,155,105,3,4,2,32,0,2,6,7,2,7,0.3,0,0,1,1,0,0,1
25,179,79,1,3,3,24,2,7,2,3,2,1,2.6,0,0,1,1,0,1,1
21,187,94,6,5,4,36,3,3,6,3,9,5,3.7,1,0,0,0,1,0,0
30,151,106,4,4,4,20,1,4,6,6,7,12,1.2,1,1,0,1,0,1,0
26,164,61,1,5,1,59,5,3,8,6,3,0,7.9,0,1,0,0,0,0,0
20,160,47,1,2,3,26,4,3,7,4,3,4,1.7,0,1,0,0,1,0,0
16,157,76,3,6,2,23,5,4,8,9,7,10,1.0,1,1,1,0,1,0,0
23,175,57,7,4,4,36,3,5,9,4,5,6,1.6,1,0,1,1,1,1,1
27,194,58,6,2,4,27,0,1,6,9,10,12,6.2,0,0,0,0,0,0,1
27,193,55,5,4,1,37,4,4,3,4,6,9,3.4,1,1,1,0,0,1,0
20,154,100,5,4,5,56,1,8,10,2,8,0,4.5,1,0,1,0,0,0,1
22,155,73,1,2,2,56,3,10,3,2,9,14,0.2,1,1,0,1,0,0,0
19,175,53,2,3,3,13,4,7,1,5,1,1,0.3,0,0,0,0,1,1,0
21,153,69,6,1,4,16,3,9,5,4,3,6,3.6,1,0,0,1,0,0,1
28,168,86,4,5,4,54,3,5,4,7,7,5,6.5,0,0,0,1,0,0,1
30,169,53,2,4,2,44,1,10,9,5,6,2,7.1,0,1,1,0,1,0,1
18,182,84,2,5,5,57,2,4,9,6,7,13,0.7,0,1,0,1,1,0,1
23,169,69,6,6,4,18,4,8,5,10,8,9,4.3,0,1,1,1,0,1,1
31,161,49,7,2,2,17,1,9,10,4,6,1,7.3,0,1,0,0,1,1,0
28,150,55,1,5,1,54,3,7,4,2,3,9,3.1,1,0,1,0,1,0,0
33,175,103,1,2,5,26,1,7,7,10,2,3,6.6,0,0,0,0,0,0,1
25,163,82,1,5,3,26,2,5,6,9,7,2,1.1,0,0,0,1,0,1,1
34,187,49,1,1,4,58,5,4,4,10,1,6,7.5,0,0,1,0,0,0,1
32,186,92,5,1,2,42,4,10,10,7,3,7,6.0,1,1,1,1,0,1,1
34,160,62,1,1,1,41,2,1,2,4,4,1,7.5,1,0,1,1,1,0,0
20,185,81,5,1,3,17,0,10,1,3,1,9,5.4,1,0,0,1,1,1,0
24,162,104,5,1,2,28,4,10,4,10,5,6,2.9,1,0,1,1,0,1,1
27,192,92,7,1,2,47,2,7,4,3,10,7,7.5,1,1,1,1,0,1,1
16,152,72,1,2,3,12,3,1,1,9,3,5,2.2,1,1,1,0,1,1,0
16,182,84,3,4,1,14,4,1,6,5,2,5,2.7,1,1,1,0,0,0,0
30,155,89,4,5,1,22,4,5,4,3,3,9,5.6,0,0,1,1,0,0,1
17,159,106,2,1,5,56,1,9,1,5,8,0,6.1,0,1,1,1,0,1,1
31,154,102,5,2,4,55,3,6,1,2,6,3,7.4,1,0,1,0,0,1,0
23,172,100,6,2,3,40,0,3,1,4,7,13,1.6,0,0,1,0,1,1,0
28,159,84,6,2,3,25,5,3,8,10,6,0,6.4,0,0,1,1,0,1,1
16,193,84,4,4,3,59,2,7,10,2,6,3,5.9,1,1,0,1,1,0,0
31,151,77,6,5,1,41,1,6,8,2,3,1,0.5,0,1,0,0,0,1,0
22,162,50,3,4,4,31,2,9,2,8,8,10,3.1,0,0,1,0,0,1,1
20,189,63,6,3,5,38,0,6,7,1,7,12,2.3,1,0,0,1,1,1,0
18,151,84,2,2,2,31,0,5,8,7,7,4,2.4,0,1,0,0,0,1,0
27,169,103,2,3,2,52,4,10,8,5,6,9,7.9,1,1,1,0,1,1,1
31,150,103,5,6,3,12,0,7,10,8,5,13,5.1,1,1,1,1,0,1,1
34,186,92,1,1,4,19,2,1,7,1,10,8,5.7,0,0,1,1,0,1,1
20,158,85,7,1,1,51,3,7,5,7,8,10,7.8,0,0,1,1,0,0,1
29,166,57,3,4,4,30,3,3,1,5,5,14,3.0,0,0,1,0,0,1,1
20,158,89,5,5,4,25,4,9,9,4,9,11,6.4,1,1,1,1,0,1,1
30,160,97,3,3,1,21,5,6,7,7,9,9,3.5,1,1,0,0,1,1,0
32,164,86,1,5,3,11,2,9,2,10,1,2,7.0,1,1,1,1,1,0,1
29,173,107,6,4,4,50,2,5,6,2,6,7,1.4,0,0,0,1,0,0,1
20,187,71,6,1,2,33,0,7,2,1,7,2,7.6,0,0,1,0,0,0,1
27,184,82,7,5,1,44,2,4,1,1,3,5,1.8,1,1,1,0,1,1,0
31,179,104,1,5,5,39,1,7,7,1,7,3,2.6,0,0,0,1,1,1,0
31,180,51,5,1,3,39,5,1,2,5,7,7,6.0,0,1,1,1,0,1,0
22,154,49,7,3,1,56,0,7,2,10,2,10,3.2,1,0,1,0,0,0,1
19,193,89,1,1,5,44,1,8,5,7,7,5,4.9,1,1,0,1,1,1,0
16,163,102,4,5,5,28,4,5,5,2,1,7,3.6,0,0,1,0,0,0,1
20,160,75,2,3,4,59,3,2,7,10,5,0,5.9,1,0,0,0,1,0,0
25,158,67,7,3,4,17,4,5,1,8,9,5,1.8,0,1,1,1,0,0,1
20,183,86,7,1,4,35,3,6,8,4,7,0,0.5,1,1,1,0,1,0,0
19,161,54,5,5,1,58,4,2,3,3,7,0,2.4,1,1,0,0,1,0,0
17,184,76,3,4,1,49,2,6,4,10,2,7,3.8,1,1,1,0,0,1,1
25,184,97,4,5,3,16,1,6,9,8,8,14,1.3,0,1,0,1,1,1,1
34,150,74,5,2,4,39,3,1,4,2,3,6,2.8,0,0,0,0,0,0,0
16,189,83,1,6,5,16,0,1,10,3,8,2,3.2,1,1,0,1,0,1,0
20,171,75,1,4,2,12,1,10,5,3,3,5,0.5,1,1,1,1,0,1,1
28,178,46,1,3,3,10,0,3,7,10,10,14,4.7,1,1,1,1,0,0,1
19,157,56,1,4,1,45,1,10,4,1,7,8,7.1,0,0,0,0,1,0,0
31,160,83,3,3,3,34,1,10,1,6,2,6,1.2,1,1,1,0,0,1,0
31,190,57,4,3,3,46,4,3,9,2,4,11,4.8,1,1,1,1,0,1,1
17,186,90,6,4,3,10,3,4,4,1,6,2,5.3,1,1,1,1,0,1,0
32,163,71,2,3,3,24,3,2,9,2,9,13,3.4,1,0,0,0,0,1,0
27,179,61,3,3,2,46,1,9,6,6,5,13,5.6,0,0,1,1,1,0,1
33,184,104,3,2,4,22,2,10,1,4,9,12,3.3,0,1,0,1,0,1,1
18,170,108,6,5,5,49,2,7,3,6,5,5,4.0,1,0,1,0,1,0,0
16,186,79,6,5,3,17,0,7,2,9,10,10,0.1,0,1,1,1,1,0,1
16,154,74,2,6,3,14,0,6,9,10,8,3,5.5,0,0,0,0,1,1,1
34,168,107,2,6,3,18,4,3,1,10,1,13,5.3,0,1,1,0,0,1,1
26,163,72,6,2,4,10,1,6,9,8,7,12,0.3,1,0,0,1,0,1,1
20,175,104,1,6,1,45,0,8,9,1,4,2,2.9,0,1,1,0,0,0,1
27,153,81,3,4,1,44,0,8,8,8,5,8,7.8,0,1,0,0,0,0,1
18,174,66,5,1,2,11,5,9,8,9,6,9,3.4,0,0,1,0,1,0,1
16,194,64,2,1,1,49,1,1,1,6,5,1,4.0,1,1,1,1,1,0,0
16,191,108,2,1,3,32,4,1,8,10,1,0,7.3,1,1,1,1,0,1,1
23,174,61,6,2,3,18,0,3,10,5,9,14,5.7,0,1,0,1,0,0,1
25,167,56,4,2,3,43,4,3,3,6,2,13,4.7,0,1,0,0,0,0,0
26,189,66,5,3,2,55,3,10,7,6,9,1,6.4,1,0,0,0,0,1,1
27,157,61,5,1,3,23,4,8,1,9,10,6,6.9,1,1,1,1,0,0,1
28,188,54,2,4,1,13,2,10,1,4,2,9,3.7,0,0,0,1,0,0,1
27,189,109,1,6,4,39,2,1,10,2,9,0,3.8,0,0,0,0,0,1,0
29,163,66,4,4,4,40,4,2,5,9,6,5,3.1,1,0,0,1,1,0,0
17,181,94,5,6,5,47,2,2,5,2,9,13,7.7,1,0,0,1,1,0,0
34,187,58,2,1,1,20,3,3,8,10,6,6,5.6,0,1,0,1,1,0,0
33,182,108,5,1,3,44,1,6,7,9,6,8,0.7,1,1,0,1,1,0,0
18,172,91,7,1,4,17,2,1,8,2,2,14,6.9,0,0,0,1,0,1,1
32,164,73,4,2,1,12,2,2,6,8,8,13,3.8,0,1,0,0,0,0,0
23,182,80,4,6,4,23,4,1,6,9,3,7,0.6,0,0,0,1,0,1,0
25,174,96,7,2,3,22,3,5,2,10,7,5,4.4,1,1,0,1,0,0,0
17,166,51,3,2,4,54,1,7,6,9,5,2,3.3,0,1,1,0,0,1,1
34,182,73,7,5,5,41,4,8,5,10,3,7,7.0,0,1,1,0,1,1,1
24,151,55,6,4,5,43,4,10,3,9,1,6,1.6,1,0,0,0,0,1,1
22,163,77,6,4,4,54,5,1,6,2,8,2,6.6,1,0,1,0,1,0,0
19,189,50,2,3,1,28,3,7,8,4,3,8,4.5,0,1,1,1,0,0,1
33,189,76,4,2,1,47,1,5,9,7,2,11,0.4,0,0,0,1,1,0,1
28,188,95,3,6,1,25,3,10,1,2,1,1,7.8,1,0,0,1,0,1,0
26,155,102,3,5,4,11,1,1,3,1,4,2,4.1,1,1,0,1,1,0,0
19,155,70,5,5,1,49,3,3,3,3,8,1,2.3,1,0,1,0,0,0,0
19,152,90,5,4,3,26,4,7,8,4,3,12,3.8,0,1,0,0,0,0,0
25,156,73,7,2,5,43,4,10,1,8,1,0,6.9,0,1,1,1,0,0,1
20,157,48,3,3,3,51,0,1,5,6,4,3,2.4,0,1,0,1,0,1,0
24,191,57,7,2,1,25,2,7,3,2,9,4,1.5,1,0,1,1,1,1,0
18,164,83,7,1,3,47,5,5,2,9,1,12,1.0,0,1,1,1,0,0,1
32,178,59,5,2,1,11,3,1,8,2,2,5,2.4,1,1,0,0,1,0,0
18,182,73,4,1,4,11,5,1,3,5,9,4,6.2,0,0,0,1,0,0,0
31,179,73,7,1,3,35,0,1,7,4,2,0,3.8,1,0,1,0,1,1,0
19,188,76,1,3,4,22,2,9,1,7,3,2,1.8,0,0,1,0,0,0,1
33,176,46,4,6,4,56,3,3,6,8,7,0,1.3,0,0,0,0,0,1,0
32,185,91,3,4,2,40,1,5,3,5,3,10,2.7,1,1,0,0,1,1,0
22,178,66,3,2,1,43,2,10,8,10,9,4,7.5,1,0,1,1,0,0,1
20,187,71,7,1,5,48,4,9,6,5,6,4,2.7,0,0,0,1,0,0,1
27,182,100,4,2,1,12,0,6,2,2,3,11,7.9,1,0,1,1,1,0,1
32,186,65,5,6,5,17,2,9,6,8,9,10,3.9,1,0,0,1,0,1,1
28,176,91,5,4,1,32,2,8,7,2,1,12,1.4,0,1,0,0,1,1,0
18,182,103,6,6,4,23,4,8,5,10,10,5,7.1,1,0,0,0,0,0,1
24,153,50,3,4,3,36,3,1,3,6,3,7,3.7,0,1,1,0,1,1,0
32,171,63,2,5,3,38,1,9,4,8,1,9,5.7,0,0,0,1,1,0,1
32,151,101,6,4,2,48,4,6,4,6,2,11,7.9,1,1,1,0,1,0,0
31,159,47,5,3,5,48,1,9,6,4,8,0,0.4,1,1,0,0,1,1,0
28,154,45,4,6,5,10,3,3,10,4,7,3,0.8,0,0,1,0,0,1,0
34,159,102,5,1,5,26,2,3,1,6,2,9,5.8,0,1,1,0,0,1,0
32,182,82,4,5,4,50,1,6,4,4,2,10,2.3,0,0,0,1,1,1,1
19,187,59,6,3,5,39,0,9,10,8,9,0,1.5,0,1,1,0,0,0,1
27,162,78,3,2,3,22,0,7,4,9,6,8,0.3,0,1,1,0,0,0,1
24,180,105,5,6,4,30,4,3,10,1,5,10,0.2,0,1,1,1,0,0,1
34,185,79,7,1,1,28,3,3,1,4,10,6,6.2,1,0,1,1,1,1,0
27,194,108,4,4,5,28,4,2,9,4,6,6,1.1,1,1,0,1,0,0,0
24,173,69,3,1,5,34,4,9,4,2,9,11,3.7,1,0,0,0,0,1,0
22,164,68,2,2,1,31,5,3,7,6,7,4,4.8,0,1,0,0,1,1,0
29,178,56,4,5,5,40,4,5,3,3,10,6,3.4,1,1,1,0,0,1,0
34,157,62,6,5,1,26,5,9,10,7,10,11,0.2,0,1,1,0,1,0,1
30,154,59,2,6,4,32,0,8,3,5,9,14,6.3,0,1,0,1,1,1,1
31,178,71,2,5,3,41,0,2,8,4,4,1,0.1,1,1,0,0,1,1,0
20,153,104,1,6,1,19,4,3,8,5,2,13,6.1,0,1,1,0,0,1,1
18,161,90,5,6,2,19,0,2,1,8,8,12,7.1,0,0,0,1,0,1,1
27,194,61,4,6,1,45,3,8,10,3,4,3,3.5,0,0,0,1,1,1,1
19,151,97,2,4,5,17,5,6,2,7,9,13,4.3,0,0,1,1,1,1,1
31,176,52,1,3,4,29,5,6,8,6,4,13,3.8,0,1,0,0,1,1,0
22,180,71,6,6,4,41,4,9,1,1,8,6,3.1,0,0,1,0,1,1,0
28,185,90,3,6,1,59,0,8,8,7,9,2,7.1,1,1,0,0,1,1,0
25,185,94,7,3,3,23,1,4,8,7,9,1,7.2,0,0,1,0,1,1,1
22,175,47,7,1,2,59,5,4,2,1,10,9,2.7,0,0,1,0,0,1,0
29,192,108,4,6,4,37,4,9,4,9,4,1,4.9,0,1,1,1,1,1,1
20,176,88,2,4,5,55,4,1,6,6,1,12,7.4,0,1,1,1,1,0,1
18,154,97,7,5,5,33,3,2,9,2,3,0,7.7,1,0,1,0,1,0,0
26,169,68,5,5,3,24,2,2,8,5,9,4,4.1,1,0,0,0,0,1,0
26,160,104,7,2,4,31,2,6,8,4,4,11,3.6,0,0,0,0,0,1,1
33,159,47,7,2,1,39,5,4,7,7,5,5,2.2,0,0,0,0,0,1,0
30,189,64,7,5,5,13,3,10,9,8,7,5,7.7,0,1,1,0,0,0,1
27,187,90,1,5,3,22,3,3,2,1,5,8,1.1,1,0,0,1,1,0,0
24,155,59,2,4,4,32,3,3,3,5,4,3,4.6,1,1,1,1,0,0,0
25,157,69,5,3,4,17,5,3,10,3,2,0,2.3,1,1,1,1,1,1,0
27,172,61,2,2,4,27,2,6,8,1,2,5,2.2,1,0,0,0,1,1,0
32,175,53,4,3,4,21,3,8,6,3,4,14,3.2,0,1,1,0,1,1,1
21,192,82,4,4,4,40,0,7,10,6,10,4,8.0,1,0,0,1,1,1,1
22,161,92,4,5,5,23,4,4,9,7,10,9,0.4,1,1,1,1,1,0,1
29,175,104,6,6,3,43,4,4,10,8,9,5,4.6,0,1,1,0,1,1,1
28,162,107,7,3,4,27,1,10,4,4,8,2,0.7,0,0,0,1,0,0,1
23,189,46,6,5,2,43,1,2,8,3,3,1,1.2,1,1,1,1,0,0,0
25,167,55,1,5,2,20,5,1,10,5,9,5,3.5,1,1,0,0,0,1,0
24,174,108,4,1,3,50,5,9,3,9,5,12,4.1,1,0,1,1,0,0,1
33,182,65,5,3,1,21,4,2,3,6,3,0,2.1,1,1,0,1,0,0,0
17,189,62,2,6,1,58,0,8,8,9,5,6,2.5,0,1,1,1,1,0,1
20,192,108,7,3,1,24,2,9,5,6,10,6,0.7,0,0,0,0,0,0,0
20,161,82,3,5,2,40,2,4,3,2,4,9,2.4,1,0,0,1,0,1,0
21,193,76,5,6,1,58,5,8,10,5,8,12,7.7,1,1,1,1,0,1,1
34,185,55,7,4,5,38,0,9,1,9,5,6,7.6,1,1,0,1,1,0,0
23,153,89,6,1,4,35,5,10,3,8,10,14,2.7,1,1,1,0,1,1,1
31,154,77,6,5,2,27,2,10,9,7,8,11,4.6,1,0,1,0,1,0,1
28,186,85,5,2,3,41,5,5,5,1,9,10,7.3,0,1,0,1,0,1,0
16,157,52,6,2,3,31,3,7,10,4,4,9,0.0,0,1,0,0,0,1,0
32,191,55,4,1,4,47,5,10,2,7,7,0,6.5,0,1,0,1,0,1,1
22,177,95,1,4,2,26,4,4,7,7,2,14,7.6,1,1,0,0,0,1,0
28,180,85,2,5,1,32,5,1,2,6,6,3,0.7,1,1,0,0,0,1,0
19,158,61,1,3,1,33,4,3,4,8,8,12,1.3,0,1,1,1,1,0,1
19,178,90,7,1,5,59,0,5,7,6,7,6,7.7,0,0,0,1,0,1,1
